Grapheme	Dataset	Absolute	Relative
ʈʳ	lapsyd	1	0.0001
ᶑ̥	lapsyd	1	0.0001
ⁿɖʳ	lapsyd	1	0.0001
ø̰	lapsyd	1	0.0001
y̰	lapsyd	1	0.0001
ɯ̰	lapsyd	1	0.0001
ɑ̰	lapsyd	1	0.0001
ⁿdʷ	lapsyd	1	0.0001
cçʼ	lapsyd	1	0.0001
ɟʝ	lapsyd	1	0.0001
tθʼ	lapsyd	1	0.0001
pfʼ	lapsyd	1	0.0001
ɰ̃	lapsyd	1	0.0001
fˠ	lapsyd	1	0.0001
bˠ	lapsyd	1	0.0001
ɾˠ	lapsyd	1	0.0001
d̠ʲ	lapsyd	1	0.0001
l̠ʲ	lapsyd	1	0.0001
ɾʲ	lapsyd	1	0.0001
mˠ	lapsyd	1	0.0001
sˠ	lapsyd	1	0.0001
pˠ	lapsyd	1	0.0001
d̪ˠ	lapsyd	1	0.0001
n̪ˠ	lapsyd	1	0.0001
t̪ˠ	lapsyd	1	0.0001
ʊ̃ː	lapsyd	1	0.0001
zʲ	lapsyd	1	0.0001
s̠	lapsyd	1	0.0001
r̝	lapsyd	1	0.0001
uˤ	lapsyd	1	0.0001
ts̫ʰ	lapsyd	1	0.0001
d̠ʒ̫	lapsyd	1	0.0001
ts̫	lapsyd	1	0.0001
z̫	lapsyd	1	0.0001
ɑˤ	lapsyd	1	0.0001
ʒ̫	lapsyd	1	0.0001
t̠ʃ̫ʰ	lapsyd	1	0.0001
s̫	lapsyd	1	0.0001
t̠ʃ̫	lapsyd	1	0.0001
ʃ̫	lapsyd	1	0.0001
dz̫	lapsyd	1	0.0001
t̠ʃ̫ʼ	lapsyd	1	0.0001
ts̫ʼ	lapsyd	1	0.0001
ʃʷ	lapsyd	1	0.0001
ħʷ	lapsyd	1	0.0001
ɖʐ	lapsyd	1	0.0001
qʼʲ	lapsyd	1	0.0001
dzʷ	lapsyd	1	0.0001
ʒʷ	lapsyd	1	0.0001
dʷ	lapsyd	1	0.0001
ʕʷ	lapsyd	1	0.0001
ɦʲ	lapsyd	1	0.0001
u̥ː	lapsyd	1	0.0001
ɔ̥ː	lapsyd	1	0.0001
y̥ː	lapsyd	1	0.0001
e̥ː	lapsyd	1	0.0001
ɑ̥ː	lapsyd	1	0.0001
i̥ː	lapsyd	1	0.0001
ø̥ː	lapsyd	1	0.0001
ɯ̥ː	lapsyd	1	0.0001
θʼ	lapsyd	1	0.0001
ɔy	lapsyd	1	0.0001
æi	lapsyd	1	0.0001
æʉ	lapsyd	1	0.0001
ɒ̝	lapsyd	1	0.0001
ɨ̃ĩ	lapsyd	1	0.0001
õĩ	lapsyd	1	0.0001
ɨi	lapsyd	1	0.0001
ɻ̝	lapsyd	1	0.0001
ʁ̞	lapsyd	1	0.0001
ⁿɺ	lapsyd	1	0.0001
ʌː	lapsyd	1	0.0001
ʌ̃ː	lapsyd	1	0.0001
h̃	lapsyd	1	0.0001
ɖː	lapsyd	1	0.0001
ʊi	lapsyd	1	0.0001
ɮʲ	lapsyd	1	0.0001
ⁿkʲ	lapsyd	1	0.0001
ŋʲ	lapsyd	1	0.0001
iɨ	lapsyd	1	0.0001
ǁʰ	lapsyd	1	0.0001
gǃ	lapsyd	1	0.0001
gǁ	lapsyd	1	0.0001
gǀ	lapsyd	1	0.0001
ǃʔ	lapsyd	1	0.0001
ǃʰ	lapsyd	1	0.0001
