SizeA,SizeB,Glottocode,Parameter,DataA,DataB
18.0,18.0,swed1254,Consonants,JIPA,PH
31.0,25.5,east2440,Consonants,JIPA,PH
16.0,16.0,malo1243,Consonants,JIPA,PH
16.0,21.0,tami1289,Consonants,JIPA,PH
24.0,24.0,tuka1248,Consonants,JIPA,PH
32.0,24.0,ukra1253,Consonants,JIPA,PH
16.0,16.0,yine1238,Consonants,JIPA,PH
10.0,10.0,bemb1257,Vowels,JIPA,PH
7.0,16.0,stan1289,Vowels,JIPA,PH
12.0,9.0,chic1270,Vowels,JIPA,PH
12.0,11.0,croa1245,Vowels,JIPA,PH
13.0,13.0,czec1258,Vowels,JIPA,PH
22.0,15.0,dutc1256,Vowels,JIPA,PH
9.0,9.0,egaa1242,Vowels,JIPA,PH
8.0,7.0,gali1258,Vowels,JIPA,PH
8.0,8.0,gayo1244,Vowels,JIPA,PH
14.0,13.0,ibib1240,Vowels,JIPA,PH
9.0,9.0,indo1316,Vowels,JIPA,PH
7.0,7.0,ital1282,Vowels,JIPA,PH
12.0,12.0,jama1262,Vowels,JIPA,PH
18.0,19.0,jica1244,Vowels,JIPA,PH
25.0,23.0,kabi1261,Vowels,JIPA,PH
6.0,6.0,keoo1238,Vowels,JIPA,PH
8.0,8.0,lisu1250,Vowels,JIPA,PH
34.0,24.0,mamb1294,Vowels,JIPA,PH
8.0,8.0,mono1270,Vowels,JIPA,PH
8.0,10.0,nuuc1236,Vowels,JIPA,PH
10.0,10.0,phal1254,Vowels,JIPA,PH
3.0,5.0,sala1272,Vowels,JIPA,PH
8.0,8.0,seri1257,Vowels,JIPA,PH
20.0,10.0,sind1272,Vowels,JIPA,PH
8.0,16.0,slov1268,Vowels,JIPA,PH
6.0,5.0,spok1245,Vowels,JIPA,PH
9.0,9.0,east2295,Vowels,JIPA,PH
17.0,17.0,swed1254,Vowels,JIPA,PH
5.0,5.0,east2440,Vowels,JIPA,PH
5.0,5.0,malo1243,Vowels,JIPA,PH
12.0,12.0,tami1289,Vowels,JIPA,PH
5.0,5.0,tuka1248,Vowels,JIPA,PH
6.0,6.0,ukra1253,Vowels,JIPA,PH
10.0,10.0,yine1238,Vowels,JIPA,PH
73.0,68.0,amha1245,Sounds,JIPA,UZ
37.0,37.0,stan1318,Sounds,JIPA,UZ
31.0,33.0,assa1263,Sounds,JIPA,UZ
24.0,25.0,bard1255,Sounds,JIPA,UZ
79.0,72.0,beng1280,Sounds,JIPA,UZ
43.5,39.5,stan1293,Sounds,JIPA,UZ
29.0,29.0,taji1245,Sounds,JIPA,UZ
30.0,30.0,bulg1262,Sounds,JIPA,UZ
52.0,31.0,east2379,Sounds,JIPA,UZ
41.0,36.0,cent2092,Sounds,JIPA,UZ
54.0,42.0,yuec1235,Sounds,JIPA,UZ
25.0,27.0,coco1260,Sounds,JIPA,UZ
47.0,69.0,dani1285,Sounds,JIPA,UZ
