Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB
stan1293	phoible	stan1293-2177	44	25	19	phoible	stan1293-2180	39	24	15	0.54	0.76	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2178	40	24	16	phoible	stan1293-2179	45	24	21	0.47	0.73	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
stan1293	phoible	stan1293-2178	40	24	16	phoible	stan1293-2180	39	24	15	0.68	0.84	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2179	45	24	21	phoible	stan1293-2180	39	24	15	0.47	0.72	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
bulg1262	jipa	bulgarian	30	22	8	lapsyd	bulgarian_bulg1262	28	22	6	0.93	0.94	p b t d k g m n r f v s z ʃ ʒ x j l ts dz tʃ dʒ i ɛ a ɐ ɤ ɔ o u	j t p a d r g s k f ʒ u x n ɛ i ʃ z l ɔ dz m v tʃ b ɤ ts dʒ
bulg1262	jipa	bulgarian	30	22	8	upsid	bulg1262-265	42	36	6	0.38	0.56	p b t d k g m n r f v s z ʃ ʒ x j l ts dz tʃ dʒ i ɛ a ɐ ɤ ɔ o u	a b bʲ d̪ d̪ʲ dʒ ɛ ɘ f fʲ g gʲ i j k kʲ l̪ˠ l̪ʲ m mʲ n nʲ ɔ p pʲ r rʲ s̪ s̪ʲ ʃ t̪ t̪ʲ ts̪ ts̪ʲ tʃ u v vʲ x z̪ z̪ʲ ʒ
bulg1262	jipa	bulgarian	30	22	8	phoible	bulg1262-2163	30	23	7	0.46	0.88	p b t d k g m n r f v s z ʃ ʒ x j l ts dz tʃ dʒ i ɛ a ɐ ɤ ɔ o u	a ɐ b d̟ dz̟ dʒ̟ ɛ f g ɣ i j k l̟ m n o ɔ p r̟ s̟ ʃ t̟ ts̟ tʃ̟ u v x z̟ ʒ
bulg1262	lapsyd	bulgarian_bulg1262	28	22	6	upsid	bulg1262-265	42	36	6	0.40	0.58	j t p a d r g s k f ʒ u x n ɛ i ʃ z l ɔ dz m v tʃ b ɤ ts dʒ	a b bʲ d̪ d̪ʲ dʒ ɛ ɘ f fʲ g gʲ i j k kʲ l̪ˠ l̪ʲ m mʲ n nʲ ɔ p pʲ r rʲ s̪ s̪ʲ ʃ t̪ t̪ʲ ts̪ ts̪ʲ tʃ u v vʲ x z̪ z̪ʲ ʒ
bulg1262	lapsyd	bulgarian_bulg1262	28	22	6	phoible	bulg1262-2163	30	23	7	0.41	0.83	j t p a d r g s k f ʒ u x n ɛ i ʃ z l ɔ dz m v tʃ b ɤ ts dʒ	a ɐ b d̟ dz̟ dʒ̟ ɛ f g ɣ i j k l̟ m n o ɔ p r̟ s̟ ʃ t̟ ts̟ tʃ̟ u v x z̟ ʒ
bulg1262	upsid	bulg1262-265	42	36	6	phoible	bulg1262-2163	30	23	7	0.31	0.54	a b bʲ d̪ d̪ʲ dʒ ɛ ɘ f fʲ g gʲ i j k kʲ l̪ˠ l̪ʲ m mʲ n nʲ ɔ p pʲ r rʲ s̪ s̪ʲ ʃ t̪ t̪ʲ ts̪ ts̪ʲ tʃ u v vʲ x z̪ z̪ʲ ʒ	a ɐ b d̟ dz̟ dʒ̟ ɛ f g ɣ i j k l̟ m n o ɔ p r̟ s̟ ʃ t̟ ts̟ tʃ̟ u v x z̟ ʒ
