Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB	normal vowels A	normal vowels B	long vowels A	long vowels B	odd-length vowels A	odd-length vowels B	diphthongs A	diphthongs B	normal consonants A	normal consonants B	long consonants A	long consonants B	odd-length consonants A	odd-length consonants B	unknowns A	unknowns B
amas1236	lapsyd	ama_amas1236	29	19	10	upsid	amas1236-504	25	18	7	0.80	0.86	a e i o u ɔ ɛ ɜ ɪ ʊ b d d̪ f g j k l m n r s t t̪ w ŋ ɟ ɲ ɽ	a e i o u ɔ ɛ b d d̪ g j k l m n r s t t̪ w ŋ ɟ ɲ ɺ	a e i o u ɔ ɛ ɜ ɪ ʊ	a e i o u ɔ ɛ							b d d̪ f g j k l m n r s t t̪ w ŋ ɟ ɲ ɽ	b d d̪ g j k l m n r s t t̪ w ŋ ɟ ɲ ɺ						
khar1287	lapsyd	khariadudh_khar1287	37	32	5	upsid	khar1287-408	36	31	5	0.70	0.88	a i u ɔ ɛ b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	a e i o̞ u b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	a i u ɔ ɛ	a e i o̞ u							b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ						
khar1287	lapsyd	khariadudh_khar1287	37	32	5	phoible	khar1287-909	47	37	10	0.38	0.67	a i u ɔ ɛ b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	a e i o u æ ao oi ou ui b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ	a i u ɔ ɛ	a e i o u æ						ao oi ou ui	b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ						
khar1287	lapsyd	khariadudh_khar1287	37	32	5	ra	khar1287-1740	45	31	14	0.39	0.68	a i u ɔ ɛ b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃ eː iː oː uː ũː b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ	a i u ɔ ɛ	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃		eː iː oː uː ũː					b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ						
khar1287	lapsyd	khariadudh_khar1287	37	32	5	ea	khar1287-2511	39	34	5	0.58	0.73	a i u ɔ ɛ b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	ɑ ɔ ɛ ɪ ʊ b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ	a i u ɔ ɛ	ɑ ɔ ɛ ɪ ʊ							b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l̪ m n̪ p pʰ s̪ tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ̪ ʈ ʈʰ ʔ	b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ						
khar1287	upsid	khar1287-408	36	31	5	phoible	khar1287-909	47	37	10	0.51	0.69	a e i o̞ u b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	a e i o u æ ao oi ou ui b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ	a e i o̞ u	a e i o u æ						ao oi ou ui	b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ						
khar1287	upsid	khar1287-408	36	31	5	ra	khar1287-1740	45	31	14	0.50	0.71	a e i o̞ u b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃ eː iː oː uː ũː b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ	a e i o̞ u	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃		eː iː oː uː ũː					b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ						
khar1287	upsid	khar1287-408	36	31	5	ea	khar1287-2511	39	34	5	0.39	0.65	a e i o̞ u b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	ɑ ɔ ɛ ɪ ʊ b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ	a e i o̞ u	ɑ ɔ ɛ ɪ ʊ							b bʱ dʒ dʒʱ d̪ d̪ʱ g gʱ j k kʰ l m n p pʰ s tʃ tʃʰ t̪ t̪ʰ w ŋ ɖ ɖʱ ɦ ɲ ɽ ɾ ʈ ʈʰ	b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ						
khar1287	phoible	khar1287-909	47	37	10	ra	khar1287-1740	45	31	14	0.37	0.61	a e i o u æ ao oi ou ui b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃ eː iː oː uː ũː b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ	a e i o u æ	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃		eː iː oː uː ũː			ao oi ou ui		b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ	b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ						
khar1287	phoible	khar1287-909	47	37	10	ea	khar1287-2511	39	34	5	0.39	0.69	a e i o u æ ao oi ou ui b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ	ɑ ɔ ɛ ɪ ʊ b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ	a e i o u æ	ɑ ɔ ɛ ɪ ʊ					ao oi ou ui		b bʱ d̪ d̪ʱ f g gʱ j k kʰ l m n p s ts tsʰ t̪ t̪ʰ w ŋ ɗ ɗʱ ɟ ɟʱ ɦ ɲ ɳ ɸ ɽ ɽʱ ɾ ʈ ʈʰ ˀb ˀɗ ˀɟ	b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ						
khar1287	ra	khar1287-1740	45	31	14	ea	khar1287-2511	39	34	5	0.27	0.62	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃ eː iː oː uː ũː b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ	ɑ ɔ ɛ ɪ ʊ b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ	a e i o õ̞ u æ̞̃ ɪ̃ ʊ̃	ɑ ɔ ɛ ɪ ʊ	eː iː oː uː ũː						b bʱ cç cçʰ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ w ŋ ɖ ɖʱ ɟʝ ɦ ɲ ɽ ɾ ʈ ʈʰ ʔ	b bʱ c cʰ d̪ d̪ʱ f g gʱ h j k kʰ l̪ m n̪ p s̪ t̪ t̪ʰ w ŋ ɖ ɖʱ ɟ ɟʱ ɲ ɳ ɽ ɽʱ ɾ̪ ʈ ʈʰ ʔ						
kuku1273	lapsyd	kukuyalanji_kuku1273	16	13	3	upsid	kuku1273-349	16	13	3	0.78	0.93	a i u j k l m n n̠ p r t t̠ w ŋ ɻ	a i u c j k l m n p r t w ŋ ɲ ɻ	a i u	a i u							j k l m n n̠ p r t t̠ w ŋ ɻ	c j k l m n p r t w ŋ ɲ ɻ						
kuku1273	lapsyd	kukuyalanji_kuku1273	16	13	3	er	kuku1273-2885	16	13	3	0.39	0.86	a i u j k l m n n̠ p r t t̠ w ŋ ɻ	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							j k l m n n̠ p r t t̠ w ŋ ɻ	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	lapsyd	kukuyalanji_kuku1273	16	13	3	er	kuku1273-2887	16	13	3	0.39	0.86	a i u j k l m n n̠ p r t t̠ w ŋ ɻ	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							j k l m n n̠ p r t t̠ w ŋ ɻ	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	lapsyd	kukuyalanji_kuku1273	16	13	3	er	kuku1273-2889	16	13	3	0.39	0.86	a i u j k l m n n̠ p r t t̠ w ŋ ɻ	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							j k l m n n̠ p r t t̠ w ŋ ɻ	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	upsid	kuku1273-349	16	13	3	er	kuku1273-2885	16	13	3	0.39	0.85	a i u c j k l m n p r t w ŋ ɲ ɻ	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							c j k l m n p r t w ŋ ɲ ɻ	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	upsid	kuku1273-349	16	13	3	er	kuku1273-2887	16	13	3	0.39	0.85	a i u c j k l m n p r t w ŋ ɲ ɻ	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							c j k l m n p r t w ŋ ɲ ɻ	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	upsid	kuku1273-349	16	13	3	er	kuku1273-2889	16	13	3	0.39	0.85	a i u c j k l m n p r t w ŋ ɲ ɻ	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							c j k l m n p r t w ŋ ɲ ɻ	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	er	kuku1273-2885	16	13	3	er	kuku1273-2887	16	13	3	1.00	1.00	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	er	kuku1273-2885	16	13	3	er	kuku1273-2889	16	13	3	1.00	1.00	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
kuku1273	er	kuku1273-2887	16	13	3	er	kuku1273-2889	16	13	3	1.00	1.00	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	a i u	a i u							j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺	j k l̺ m n̺ p r̺ t̺ w ŋ ȵ ȶ ɹ̺						
cube1242	lapsyd	cubeo_cube1242	22	10	12	upsid	cube1242-295	23	11	12	0.61	0.81	a ã i ĩ o õ u ũ ɛ ɛ̃ ɨ ɨ̃ b d k p t tʃ x ð ɾ β	a ã e̞ ẽ̞ i ĩ o̞ õ̞ u ũ ɨ ɨ̃ b d d̠ k p t tʃ x ð ɺ β	a ã i ĩ o õ u ũ ɛ ɛ̃ ɨ ɨ̃	a ã e̞ ẽ̞ i ĩ o̞ õ̞ u ũ ɨ ɨ̃							b d k p t tʃ x ð ɾ β	b d d̠ k p t tʃ x ð ɺ β						
cube1242	lapsyd	cubeo_cube1242	22	10	12	saphon	cube1242-2051	17	11	6	0.44	0.64	a ã i ĩ o õ u ũ ɛ ɛ̃ ɨ ɨ̃ b d k p t tʃ x ð ɾ β	a e i o u ɨ b d h j k p t tʃ w ɹ̪ ɾ	a ã i ĩ o õ u ũ ɛ ɛ̃ ɨ ɨ̃	a e i o u ɨ							b d k p t tʃ x ð ɾ β	b d h j k p t tʃ w ɹ̪ ɾ						
cube1242	upsid	cube1242-295	23	11	12	saphon	cube1242-2051	17	11	6	0.33	0.63	a ã e̞ ẽ̞ i ĩ o̞ õ̞ u ũ ɨ ɨ̃ b d d̠ k p t tʃ x ð ɺ β	a e i o u ɨ b d h j k p t tʃ w ɹ̪ ɾ	a ã e̞ ẽ̞ i ĩ o̞ õ̞ u ũ ɨ ɨ̃	a e i o u ɨ							b d d̠ k p t tʃ x ð ɺ β	b d h j k p t tʃ w ɹ̪ ɾ						
ajyi1238	lapsyd	ajyininka_ajyi1238	27	19	8	saphon	ajyi1238-1807	25	19	6	0.62	0.86	a i o aː iː oː ai oi h j k m n n̠ p r s t ts tsʰ tʃ tʃʰ tʰ ɕ ɰ β̞ rʲː	a i o aː iː oː ç h j k m n p s t ts tsʰ tʃ tʃʰ tʰ ɰ ɲ ɾ ɾʲ ʋ	a i o	a i o	aː iː oː	aː iː oː			ai oi		h j k m n n̠ p r s t ts tsʰ tʃ tʃʰ tʰ ɕ ɰ β̞	ç h j k m n p s t ts tsʰ tʃ tʃʰ tʰ ɰ ɲ ɾ ɾʲ ʋ	rʲː					
scot1245	lapsyd	scottishgaelic_scot1245	59	36	23	ea	scot1245-2601	81	33	48	0.33	0.58	a ã e i ĩ o u ũ ɔ ɔ̃ ɛ ɛ̃ ɤ ɯ ai au ei ia iɤ ui ɔu ɛu ɤi b bʱ ç d̪ d̪ʱ d̪ʲ d̪ʲʱ f g gʱ gʲ gʲʱ h j k kʰ kʲ kʲʰ lˠ l̪ l̪ʲ m nˠ n̪ n̪ʲ p pʰ rˠ r̪ s̪ t̪ t̪ʰ t̪ʲ t̪ʲʰ x ʃ	a ã e i o u ũ ɔ ɔ̃ ɛ ɛ̃ ɤ ɪ̃ ɯ aː ãː eː iː oː uː ũː ɔː ɔ̃ː ɛː ɛ̃ː ɤː ɪ̃ː ɯː ɯ̃ː ai au ãũ ei ẽɪ̃ ia iə iɛ ua ui uə uɛ ũã u̠u ɔu ɛi ɛ̃ũ ɤi ɪ̃ə̃ ç f fʲ h j k kʰ kʲ kʲʰ l lʲ lˠ m n nʲ nˠ p pʰ pʲ pʲʰ s t tʰ tʲ tʲʰ v x ðʲ ɣ ɣʲ ɾ ɾˠ ʃ	a ã e i ĩ o u ũ ɔ ɔ̃ ɛ ɛ̃ ɤ ɯ	a ã e i o u ũ ɔ ɔ̃ ɛ ɛ̃ ɤ ɪ̃ ɯ		aː ãː eː iː oː uː ũː ɔː ɔ̃ː ɛː ɛ̃ː ɤː ɪ̃ː ɯː ɯ̃ː			ai au ei ia iɤ ui ɔu ɛu ɤi	ai au ãũ ei ẽɪ̃ ia iə iɛ ua ui uə uɛ ũã u̠u ɔu ɛi ɛ̃ũ ɤi ɪ̃ə̃	b bʱ ç d̪ d̪ʱ d̪ʲ d̪ʲʱ f g gʱ gʲ gʲʱ h j k kʰ kʲ kʲʰ lˠ l̪ l̪ʲ m nˠ n̪ n̪ʲ p pʰ rˠ r̪ s̪ t̪ t̪ʰ t̪ʲ t̪ʲʰ x ʃ	ç f fʲ h j k kʰ kʲ kʲʰ l lʲ lˠ m n nʲ nˠ p pʰ pʲ pʲʰ s t tʰ tʲ tʲʰ v x ðʲ ɣ ɣʲ ɾ ɾˠ ʃ						
apur1254	lapsyd	apurina_apur1254	34	14	20	phoible	apur1254-1092	40	14	26	0.85	0.93	a ã e ẽ i ĩ o õ ɨ ɨ̃ aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	a ã e ẽ i ĩ o õ ɨ ɨ̃ aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː ai ao ei eo io oi h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	a ã e ẽ i ĩ o õ ɨ ɨ̃	a ã e ẽ i ĩ o õ ɨ ɨ̃	aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː	aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː				ai ao ei eo io oi	h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ						
apur1254	lapsyd	apurina_apur1254	34	14	20	saphon	apur1254-1804	34	14	20	1.00	1.00	a ã e ẽ i ĩ o õ ɨ ɨ̃ aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	a ã e ẽ i ĩ o õ ɨ ɨ̃ aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	a ã e ẽ i ĩ o õ ɨ ɨ̃	a ã e ẽ i ĩ o õ ɨ ɨ̃	aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː	aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː					h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ						
apur1254	phoible	apur1254-1092	40	14	26	saphon	apur1254-1804	34	14	20	0.85	0.93	a ã e ẽ i ĩ o õ ɨ ɨ̃ aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː ai ao ei eo io oi h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	a ã e ẽ i ĩ o õ ɨ ɨ̃ aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	a ã e ẽ i ĩ o õ ɨ ɨ̃	a ã e ẽ i ĩ o õ ɨ ɨ̃	aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː	aː ãː eː ẽː iː ĩː oː õː ɨː ɨ̃ː			ai ao ei eo io oi		h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ	h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ						
kohu1244	lapsyd	kohumono_kohu1244	38	28	10	upsid	kohu1244-246	38	28	10	0.95	0.99	a e i o u ɔ ə ɛ ɪ ʊ b d dʒ f g gb gʷ h j kpʰ kʰ kʷʰ m n pʰ r s t tʃ tʰ v w z ŋ ŋʷ ɓ ɲ β	a e i o u ɔ ɘ ɛ ɪ ʊ b d dʒ f g gb gʷ h j kpʰ kʰ kʷʰ m n pʰ r s t tʃ tʰ v w z ŋ ŋʷ ɓ ɲ β	a e i o u ɔ ə ɛ ɪ ʊ	a e i o u ɔ ɘ ɛ ɪ ʊ							b d dʒ f g gb gʷ h j kpʰ kʰ kʷʰ m n pʰ r s t tʃ tʰ v w z ŋ ŋʷ ɓ ɲ β	b d dʒ f g gb gʷ h j kpʰ kʰ kʷʰ m n pʰ r s t tʃ tʰ v w z ŋ ŋʷ ɓ ɲ β						
dera1245	lapsyd	dlamenggwadialect_dera1245	20	15	5	upsid	dera1245-395	17	11	6	0.37	0.64	a e i u ʊ f j k l m n p r s t w x ⁿb ⁿd ⁿg	a e̞ i o̞ u ə b d g j k m n p t w ŋ	a e i u ʊ	a e̞ i o̞ u ə							f j k l m n p r s t w x ⁿb ⁿd ⁿg	b d g j k m n p t w ŋ						
chua1250	lapsyd	chuave_chua1250	27	17	10	upsid	chua1250-284	17	12	5	0.52	0.72	a e i o u ai au ei oi ou b bʷ d f fʷ g gʷ j k kʷ m mʷ n s t w ɾ	a e̞ i o̞ u b d f g j k m n s t w ɾ	a e i o u	a e̞ i o̞ u					ai au ei oi ou		b bʷ d f fʷ g gʷ j k kʷ m mʷ n s t w ɾ	b d f g j k m n s t w ɾ						
zuni1245	lapsyd	zuni_zuni1245	30	20	10	upsid	zuni1245-648	25	20	5	0.53	0.85	a e i o u aː eː iː oː uː h j k kʷ kʼ kʼʷ l m n p s t ts tsʼ tʃ tʃʼ w ɬ ʃ ʔ	a i u ɔ ɛ h j kʰ kʷʰ kʼ kʼʷ l m n p s t tsʰ tsʼ tʃʰ tʃʼ w ɬ ʃ ʔ	a e i o u	a i u ɔ ɛ	aː eː iː oː uː						h j k kʷ kʼ kʼʷ l m n p s t ts tsʼ tʃ tʃʼ w ɬ ʃ ʔ	h j kʰ kʷʰ kʼ kʼʷ l m n p s t tsʰ tsʼ tʃʰ tʃʼ w ɬ ʃ ʔ						
dagb1246	lapsyd	dagbani_dagb1246	33	22	11	upsid	dagb1246-299	29	23	6	0.59	0.82	a e i o u ə aː eː iː oː uː b d dʑ f g gb j k kp l m n p s t tɕ v z ŋ ŋm ɲ β̞	a e̞ i o̞ u ə b d dʒ f g gb j k kp l m n p s t tʃ v w z ŋ ŋm ɲ ʃ	a e i o u ə	a e̞ i o̞ u ə	aː eː iː oː uː						b d dʑ f g gb j k kp l m n p s t tɕ v z ŋ ŋm ɲ β̞	b d dʒ f g gb j k kp l m n p s t tʃ v w z ŋ ŋm ɲ ʃ						
dagb1246	lapsyd	dagbani_dagb1246	33	22	11	aa	dagb1246-690	29	23	6	0.63	0.79	a e i o u ə aː eː iː oː uː b d dʑ f g gb j k kp l m n p s t tɕ v z ŋ ŋm ɲ β̞	a e i o u ɨ b d dʒ f g gb h j k kp l m n p s t tʃ v w z ŋ ŋm ɲ	a e i o u ə	a e i o u ɨ	aː eː iː oː uː						b d dʑ f g gb j k kp l m n p s t tɕ v z ŋ ŋm ɲ β̞	b d dʒ f g gb h j k kp l m n p s t tʃ v w z ŋ ŋm ɲ						
dagb1246	upsid	dagb1246-299	29	23	6	aa	dagb1246-690	29	23	6	0.76	0.93	a e̞ i o̞ u ə b d dʒ f g gb j k kp l m n p s t tʃ v w z ŋ ŋm ɲ ʃ	a e i o u ɨ b d dʒ f g gb h j k kp l m n p s t tʃ v w z ŋ ŋm ɲ	a e̞ i o̞ u ə	a e i o u ɨ							b d dʒ f g gb j k kp l m n p s t tʃ v w z ŋ ŋm ɲ ʃ	b d dʒ f g gb h j k kp l m n p s t tʃ v w z ŋ ŋm ɲ						
