Phoneme,Dataset,Dataset Pair,Absolute Count (DatasetA),Absolute Count (DatasetB),Relative Count (DatasetA),Relative Count (DatasetB),Total Inventories,Percent (DatasetA),Percent (DatasetB)
äu̯,ea,ea-jipa,0,2,0.0000,0.0008,57,0.0000,0.0351
äu̯,ea,ea-lapsyd,0,3,0.0000,0.0008,95,0.0000,0.0316
äu̯,ea,ea-phoible,0,2,0.0000,0.0004,121,0.0000,0.0165
äː,ea,ea-jipa,0,5,0.0000,0.0021,57,0.0000,0.0877
äː,ea,ea-lapsyd,0,18,0.0000,0.0046,95,0.0000,0.1895
äː,ea,ea-phoible,0,8,0.0000,0.0017,121,0.0000,0.0661
äː,ea,ea-ra,0,2,0.0000,0.0015,32,0.0000,0.0625
äː,ea,ea-upsid,0,15,0.0000,0.0045,82,0.0000,0.1829
ä̃ː,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
ä̃ː,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
ä̃ː,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ä̃ː,ea,ea-ra,0,3,0.0000,0.0022,32,0.0000,0.0938
ä̃ː,ea,ea-upsid,0,2,0.0000,0.0006,82,0.0000,0.0244
a̙,phoible,phoible-aa,1,0,0.0006,0.0000,47,0.0213,0.0000
a̙,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̙ː,phoible,phoible-aa,1,0,0.0006,0.0000,47,0.0213,0.0000
a̙ː,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̙ˠ,phoible,phoible-aa,1,0,0.0006,0.0000,47,0.0213,0.0000
a̙ˠ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̞,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
a̞,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̞,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
a̟,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
a̟,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
a̟,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
a̟,lapsyd,lapsyd-ea,3,0,0.0008,0.0000,95,0.0316,0.0000
a̟,lapsyd,lapsyd-er,1,0,0.0007,0.0000,61,0.0164,0.0000
a̟,lapsyd,lapsyd-jipa,0,1,0.0000,0.0005,57,0.0000,0.0175
a̟,lapsyd,lapsyd-phoible,1,0,0.0002,0.0000,139,0.0072,0.0000
a̟,lapsyd,lapsyd-ra,1,0,0.0010,0.0000,26,0.0385,0.0000
a̟,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
a̟,lapsyd,lapsyd-upsid,12,0,0.0013,0.0000,303,0.0396,0.0000
a̟,upsid,upsid-aa,2,0,0.0017,0.0000,34,0.0588,0.0000
a̟,upsid,upsid-ea,9,0,0.0029,0.0000,82,0.1098,0.0000
a̟,upsid,upsid-er,1,0,0.0018,0.0000,26,0.0385,0.0000
a̟,upsid,upsid-jipa,0,4,0.0000,0.0029,38,0.0000,0.1053
a̟,upsid,upsid-lapsyd,0,19,0.0000,0.0022,303,0.0000,0.0627
a̟,upsid,upsid-phoible,5,0,0.0025,0.0000,61,0.0820,0.0000
a̟,upsid,upsid-ra,1,0,0.0017,0.0000,16,0.0625,0.0000
a̟,upsid,upsid-saphon,1,0,0.0006,0.0000,63,0.0159,0.0000
a̟i,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
a̟ː,lapsyd,lapsyd-ea,1,0,0.0003,0.0000,95,0.0105,0.0000
a̟ː,lapsyd,lapsyd-upsid,2,0,0.0002,0.0000,303,0.0066,0.0000
a̟ː,upsid,upsid-ea,5,0,0.0016,0.0000,82,0.0610,0.0000
a̟ː,upsid,upsid-lapsyd,0,3,0.0000,0.0003,303,0.0000,0.0099
ã̟,lapsyd,lapsyd-ra,1,0,0.0010,0.0000,26,0.0385,0.0000
ã̟,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
ã̟,lapsyd,lapsyd-upsid,3,0,0.0003,0.0000,303,0.0099,0.0000
ã̟,upsid,upsid-aa,1,0,0.0009,0.0000,34,0.0294,0.0000
ã̟,upsid,upsid-lapsyd,0,4,0.0000,0.0005,303,0.0000,0.0132
ã̟,upsid,upsid-phoible,1,0,0.0005,0.0000,61,0.0164,0.0000
ã̟,upsid,upsid-ra,1,0,0.0017,0.0000,16,0.0625,0.0000
ã̟,upsid,upsid-saphon,1,0,0.0006,0.0000,63,0.0159,0.0000
ã̟ĩ,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
a̤,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
a̤,ea,ea-phoible,0,2,0.0000,0.0004,121,0.0000,0.0165
a̤,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
a̤,jipa,jipa-phoible,2,0,0.0004,0.0000,111,0.0180,0.0000
a̤,lapsyd,lapsyd-ea,1,0,0.0003,0.0000,95,0.0105,0.0000
a̤,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̤,saphon,saphon-lapsyd,0,1,0.0000,0.0004,107,0.0000,0.0093
a̤,saphon,saphon-upsid,0,1,0.0000,0.0006,63,0.0000,0.0159
a̤,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
a̤ː,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
a̤ː,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̤ˑ,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
a̤ˑ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
ã̤,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ä̤,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ä̤̃ː,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ḁ,lapsyd,lapsyd-phoible,1,0,0.0002,0.0000,139,0.0072,0.0000
ḁ,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
ḁ,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
ḁ,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
a̰,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
a̰,jipa,jipa-phoible,2,0,0.0004,0.0000,111,0.0180,0.0000
a̰,jipa,jipa-saphon,1,0,0.0063,0.0000,6,0.1667,0.0000
a̰,lapsyd,lapsyd-phoible,1,0,0.0002,0.0000,139,0.0072,0.0000
a̰,lapsyd,lapsyd-ra,1,0,0.0010,0.0000,26,0.0385,0.0000
a̰,lapsyd,lapsyd-saphon,3,0,0.0010,0.0000,107,0.0280,0.0000
a̰,lapsyd,lapsyd-upsid,7,0,0.0007,0.0000,303,0.0231,0.0000
a̰,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
a̰,phoible,phoible-lapsyd,0,2,0.0000,0.0004,139,0.0000,0.0144
a̰,phoible,phoible-saphon,1,0,0.0009,0.0000,42,0.0238,0.0000
a̰,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
a̰,ra,ra-ea,1,0,0.0007,0.0000,32,0.0312,0.0000
a̰,saphon,saphon-lapsyd,0,4,0.0000,0.0014,107,0.0000,0.0374
a̰,saphon,saphon-phoible,0,1,0.0000,0.0009,42,0.0000,0.0238
a̰,saphon,saphon-upsid,0,3,0.0000,0.0018,63,0.0000,0.0476
a̰,upsid,upsid-lapsyd,0,3,0.0000,0.0003,303,0.0000,0.0099
a̰ḭ,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
a̰ḭ,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
a̰ḭ,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
a̰ṵ,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
a̰ṵ,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
a̰ṵ,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
a̰ː,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
ã̰,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
ã̰,lapsyd,lapsyd-phoible,1,0,0.0002,0.0000,139,0.0072,0.0000
ã̰,lapsyd,lapsyd-saphon,2,0,0.0007,0.0000,107,0.0187,0.0000
